run_id,engine_id,case_id,benchmark_mode,thread_count,repeat_count,warmup_steps,physics_settings,build_settings,min_ms_per_step,mean_ms_per_step,median_ms_per_step,max_steps_per_second,mean_steps_per_second,body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx5,box_container_pile_10k,headless_api,4,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 5.6 CPU SDK+runner,17.242781000,17.478339800,17.439055667,57.995285099,57.221431114,10005,10005,0,0,8
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx34,box_container_pile_10k,headless_api,4,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 3.4 SDK+runner,18.820442667,19.099517433,18.937724167,53.133713043,52.371219939,10005,10005,0,0,2
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,box_container_pile_10k,headless_api,4,10,30,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",26.181329000,26.478276967,26.385543666,38.195158084,37.769668676,10005,10005,0,0,19
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,unity_physics,box_container_pile_10k,headless_api,5,10,30,PhysicsStep default solver; synchronize_collision_world=on,Unity 6000.5.2f1 Release IL2CPP player; Burst on; safety off,6.670837000,6.693337967,6.679768333,149.906226160,149.404858587,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,bepuphysics2,box_container_pile_10k,headless_api,5,10,30,"SolveDescription(4,1); sleep=disabled",.NET 10 Release; BepuPhysics ReleaseNoProfiling,7.530488333,7.609607200,7.592264000,132.793512948,131.421496553,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,box3d,box_container_pile_10k,headless_api,5,10,30,substeps=4; sleep=disabled; continuous=disabled,clang-cl 22 Release static runner,10.285974000,10.400418400,10.390278000,97.219767423,96.154438544,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,physx34,box_container_pile_10k,headless_api,5,10,30,"solver_iterations=4,1; sleep_threshold=0",clang-cl 22 Release runner; Vite PhysX 3.4 runtime DLLs,12.063642000,12.416895733,12.474744833,82.893706561,80.555145882,10005,10005,0,0,11
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,joltphysics,box_container_pile_10k,headless_api,5,10,30,"solver=4 velocity,1 position; sleep=disabled",clang-cl 22 Distribution static runner,14.515173333,14.695761100,14.643000833,68.893424628,68.057207055,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx5,box_container_pile_10k,headless_api,5,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 5.6 CPU SDK+runner,14.733208000,14.966308200,14.895243333,67.873880556,66.827775567,10005,10005,0,0,8
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,rapier3d,box_container_pile_10k,headless_api,5,10,30,solver_iterations=4; sleep=disabled; ccd=default/off,Rust 1.89 Cargo release; Rapier3D 0.34.0 parallel,16.206397333,16.495395767,16.529841000,61.704028319,60.628427793,10005,10005,0,0,113
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx34,box_container_pile_10k,headless_api,5,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 3.4 SDK+runner,16.794163000,17.070091333,17.085336334,59.544497692,58.585954287,10005,10005,0,0,2
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,box_container_pile_10k,headless_api,5,10,30,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",23.269483667,23.531122133,23.507798500,42.974739548,42.499041732,10005,10005,0,0,19
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,unity_physics,box_container_pile_10k,headless_api,6,10,30,PhysicsStep default solver; synchronize_collision_world=on,Unity 6000.5.2f1 Release IL2CPP player; Burst on; safety off,5.749238333,5.778136433,5.772923667,173.936083707,173.068301349,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,bepuphysics2,box_container_pile_10k,headless_api,6,10,30,"SolveDescription(4,1); sleep=disabled",.NET 10 Release; BepuPhysics ReleaseNoProfiling,6.541208000,7.238701267,7.309727167,152.876960953,138.472654962,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,box3d,box_container_pile_10k,headless_api,6,10,30,substeps=4; sleep=disabled; continuous=disabled,clang-cl 22 Release static runner,8.387029667,8.453411033,8.423259333,119.231723237,118.301463344,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,physx34,box_container_pile_10k,headless_api,6,10,30,"solver_iterations=4,1; sleep_threshold=0",clang-cl 22 Release runner; Vite PhysX 3.4 runtime DLLs,11.263378667,11.712236533,11.757087000,88.783306466,85.403978644,10005,10005,0,0,11
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,joltphysics,box_container_pile_10k,headless_api,6,10,30,"solver=4 velocity,1 position; sleep=disabled",clang-cl 22 Distribution static runner,12.793251667,12.981402300,12.885656166,78.166210285,77.055155521,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx5,box_container_pile_10k,headless_api,6,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 5.6 CPU SDK+runner,13.285218000,13.504567200,13.540127500,75.271628964,74.057385708,10005,10005,0,0,8
